Date,Economic Center,Fruit,Average Price (LKR/kg),Quantity Exposed (metric tons)
2023-03-27,Meegoda,TJC mango,103.15,11.6
2023-03-27,Meegoda,Banana,50.47,21.2
2023-03-27,Meegoda,Pineapple,99.37,5.6
2023-03-27,Narahenpita,TJC mango,106.23,7.6
2023-03-27,Narahenpita,Banana,45.78,16.3
2023-03-27,Narahenpita,Pineapple,75.72,5.2
2023-03-27,Embilipitiya,TJC mango,105.72,7.7
2023-03-27,Embilipitiya,Banana,67.07,17.4
2023-03-27,Embilipitiya,Pineapple,78.0,4.7
2023-03-28,Dambulla,TJC mango,137.49,10.2
2023-03-28,Dambulla,Banana,50.74,17.1
2023-03-28,Dambulla,Pineapple,77.8,2.4
2023-03-28,Pettah,TJC mango,95.01,4.8
2023-03-28,Pettah,Banana,58.66,22.7
2023-03-28,Pettah,Pineapple,78.94,4.8
2023-03-28,Meegoda,TJC mango,116.95,7.4
2023-03-28,Meegoda,Banana,52.71,18.8
2023-03-28,Meegoda,Pineapple,93.99,3.4
2023-03-28,Narahenpita,TJC mango,147.97,11.2
2023-03-28,Narahenpita,Banana,76.3,5.2
2023-03-28,Narahenpita,Pineapple,76.26,5.3
2023-03-28,Embilipitiya,TJC mango,139.86,5.0
2023-03-28,Embilipitiya,Banana,44.62,21.5
2023-03-28,Embilipitiya,Pineapple,77.72,3.1
2023-03-29,Dambulla,TJC mango,131.68,6.7
2023-03-29,Dambulla,Banana,71.11,24.2
2023-03-29,Dambulla,Pineapple,,
2023-03-29,Pettah,TJC mango,111.17,11.2
2023-03-29,Pettah,Banana,58.06,19.9
2023-03-29,Pettah,Pineapple,78.99,3.2
2023-03-29,Meegoda,TJC mango,124.36,6.8
2023-03-29,Meegoda,Banana,54.15,19.2
2023-03-29,Meegoda,Pineapple,79.84,5.9
2023-03-29,Narahenpita,TJC mango,112.78,8.5
2023-03-29,Narahenpita,Banana,62.25,22.5
2023-03-29,Narahenpita,Pineapple,80.38,3.1
2023-03-29,Embilipitiya,TJC mango,104.97,7.2
2023-03-29,Embilipitiya,Banana,68.99,17.4
2023-03-29,Embilipitiya,Pineapple,91.89,3.8
2023-03-30,Dambulla,TJC mango,99.25,5.9
2023-03-30,Dambulla,Banana,59.26,25.0
2023-03-30,Dambulla,Pineapple,85.54,4.9
2023-03-30,Pettah,TJC mango,119.65,7.0
2023-03-30,Pettah,Banana,57.2,13.7
2023-03-30,Pettah,Pineapple,84.98,3.0
2023-03-30,Meegoda,TJC mango,103.64,6.5
2023-03-30,Meegoda,Banana,75.57,15.2
2023-03-30,Meegoda,Pineapple,71.18,1.7
2023-03-30,Narahenpita,TJC mango,134.42,10.1
2023-03-30,Narahenpita,Banana,57.29,30.2
2023-03-30,Narahenpita,Pineapple,80.19,3.4
2023-03-30,Embilipitiya,TJC mango,117.7,9.6
2023-03-30,Embilipitiya,Banana,52.79,11.2
2023-03-30,Embilipitiya,Pineapple,59.42,4.9
2023-03-31,Dambulla,TJC mango,109.24,4.8
2023-03-31,Dambulla,Banana,69.56,16.4
2023-03-31,Dambulla,Pineapple,84.56,3.6
2023-03-31,Pettah,TJC mango,109.13,7.7
2023-03-31,Pettah,Banana,41.71,12.9
2023-03-31,Pettah,Pineapple,71.6,4.4
2023-03-31,Meegoda,TJC mango,127.85,8.8
2023-03-31,Meegoda,Banana,68.08,18.8
2023-03-31,Meegoda,Pineapple,95.6,3.2
2023-03-31,Narahenpita,TJC mango,114.66,9.1
2023-03-31,Narahenpita,Banana,73.63,23.5
2023-03-31,Narahenpita,Pineapple,91.85,4.0
2023-03-31,Embilipitiya,TJC mango,135.93,7.4
2023-03-31,Embilipitiya,Banana,57.39,18.4
2023-03-31,Embilipitiya,Pineapple,65.66,5.5
2023-04-01,Dambulla,TJC mango,140.11,7.9
2023-04-01,Dambulla,Banana,47.45,19.3
2023-04-01,Dambulla,Pineapple,,
2023-04-01,Pettah,TJC mango,131.15,10.6
2023-04-01,Pettah,Banana,61.12,16.6
2023-04-01,Pettah,Pineapple,70.17,7.0
2023-04-01,Meegoda,TJC mango,114.95,7.5
2023-04-01,Meegoda,Banana,66.64,19.3
2023-04-01,Meegoda,Pineapple,94.9,5.5
2023-04-01,Narahenpita,TJC mango,123.55,7.9
2023-04-01,Narahenpita,Banana,61.75,22.6
2023-04-01,Narahenpita,Pineapple,81.48,1.9
2023-04-01,Embilipitiya,TJC mango,128.71,8.0
2023-04-01,Embilipitiya,Banana,58.35,18.8
2023-04-01,Embilipitiya,Pineapple,64.83,3.5
2023-04-02,Dambulla,TJC mango,115.22,8.2
2023-04-02,Dambulla,Banana,43.4,18.1
2023-04-02,Dambulla,Pineapple,67.92,3.9
2023-04-02,Pettah,TJC mango,109.42,6.6
2023-04-02,Pettah,Banana,60.45,15.1
2023-04-02,Pettah,Pineapple,101.16,4.9
2023-04-02,Meegoda,TJC mango,102.76,7.0
2023-04-02,Meegoda,Banana,64.24,24.6
2023-04-02,Meegoda,Pineapple,85.67,4.8
2023-04-02,Narahenpita,TJC mango,127.3,6.1
2023-04-02,Narahenpita,Banana,60.18,17.9
2023-04-02,Narahenpita,Pineapple,91.9,2.3
2023-04-02,Embilipitiya,TJC mango,96.52,9.5
2023-04-02,Embilipitiya,Banana,57.55,16.5
2023-04-02,Embilipitiya,Pineapple,79.02,4.0
2023-04-03,Dambulla,TJC mango,123.45,7.7
2023-04-03,Dambulla,Banana,37.52,16.0
2023-04-03,Dambulla,Pineapple,86.56,4.0
2023-04-03,Pettah,TJC mango,131.16,8.1
2023-04-03,Pettah,Banana,61.78,18.1
2023-04-03,Pettah,Pineapple,81.6,4.8
2023-04-03,Meegoda,TJC mango,126.72,6.5
2023-04-03,Meegoda,Banana,57.62,23.9
2023-04-03,Meegoda,Pineapple,53.57,5.1
2023-04-03,Narahenpita,TJC mango,132.53,7.9
2023-04-03,Narahenpita,Banana,73.66,15.6
2023-04-03,Narahenpita,Pineapple,86.71,3.4
2023-04-03,Embilipitiya,TJC mango,130.77,7.6
2023-04-03,Embilipitiya,Banana,66.05,11.2
2023-04-03,Embilipitiya,Pineapple,83.88,2.9
2023-04-04,Dambulla,TJC mango,,
2023-04-04,Dambulla,Banana,59.72,26.6
2023-04-04,Dambulla,Pineapple,85.7,3.2
2023-04-04,Pettah,TJC mango,125.87,9.1
2023-04-04,Pettah,Banana,55.97,24.4
2023-04-04,Pettah,Pineapple,65.03,2.2
2023-04-04,Meegoda,TJC mango,111.67,7.1
2023-04-04,Meegoda,Banana,57.4,15.0
2023-04-04,Meegoda,Pineapple,83.12,2.2
2023-04-04,Narahenpita,TJC mango,107.6,8.5
2023-04-04,Narahenpita,Banana,52.34,12.6
2023-04-04,Narahenpita,Pineapple,79.27,4.0
2023-04-04,Embilipitiya,TJC mango,144.01,7.9
2023-04-04,Embilipitiya,Banana,60.23,18.0
2023-04-04,Embilipitiya,Pineapple,77.26,4.6
2023-04-05,Dambulla,TJC mango,100.21,6.8
2023-04-05,Dambulla,Banana,73.54,13.2
2023-04-05,Dambulla,Pineapple,81.74,2.0
2023-04-05,Pettah,TJC mango,114.62,9.7
2023-04-05,Pettah,Banana,47.26,9.9
2023-04-05,Pettah,Pineapple,89.14,3.8
2023-04-05,Meegoda,TJC mango,119.48,8.5
2023-04-05,Meegoda,Banana,53.47,19.1
2023-04-05,Meegoda,Pineapple,91.11,5.2
2023-04-05,Narahenpita,TJC mango,113.12,9.9
2023-04-05,Narahenpita,Banana,55.75,13.7
2023-04-05,Narahenpita,Pineapple,95.03,6.4
2023-04-05,Embilipitiya,TJC mango,135.24,8.4
2023-04-05,Embilipitiya,Banana,65.24,15.2
2023-04-05,Embilipitiya,Pineapple,80.8,4.0
2023-04-06,Dambulla,TJC mango,110.97,8.2
2023-04-06,Dambulla,Banana,61.59,19.5
2023-04-06,Dambulla,Pineapple,90.72,4.5
2023-04-06,Pettah,TJC mango,132.05,8.8
2023-04-06,Pettah,Banana,77.63,22.6
2023-04-06,Pettah,Pineapple,95.31,5.0
2023-04-06,Meegoda,TJC mango,121.73,5.9
2023-04-06,Meegoda,Banana,52.05,9.3
2023-04-06,Meegoda,Pineapple,58.68,3.5
2023-04-06,Narahenpita,TJC mango,139.32,10.4
2023-04-06,Narahenpita,Banana,59.7,20.2
2023-04-06,Narahenpita,Pineapple,57.51,3.3
2023-04-06,Embilipitiya,TJC mango,152.84,8.0
2023-04-06,Embilipitiya,Banana,74.57,8.3
2023-04-06,Embilipitiya,Pineapple,85.05,3.3
2023-04-07,Dambulla,TJC mango,107.95,9.4
2023-04-07,Dambulla,Banana,64.15,15.8
2023-04-07,Dambulla,Pineapple,84.78,6.1
2023-04-07,Pettah,TJC mango,,
2023-04-07,Pettah,Banana,61.0,11.9
2023-04-07,Pettah,Pineapple,77.21,3.6
2023-04-07,Meegoda,TJC mango,105.06,10.3
2023-04-07,Meegoda,Banana,65.08,17.0
2023-04-07,Meegoda,Pineapple,86.29,4.4
2023-04-07,Narahenpita,TJC mango,110.86,8.1
2023-04-07,Narahenpita,Banana,71.63,17.9
2023-04-07,Narahenpita,Pineapple,82.55,3.8
2023-04-07,Embilipitiya,TJC mango,128.16,8.5
2023-04-07,Embilipitiya,Banana,51.64,17.8
2023-04-07,Embilipitiya,Pineapple,75.86,3.8
2023-04-08,Dambulla,TJC mango,147.27,8.9
2023-04-08,Dambulla,Banana,49.86,21.3
2023-04-08,Dambulla,Pineapple,82.34,3.1
2023-04-08,Pettah,TJC mango,,
2023-04-08,Pettah,Banana,55.11,18.0
2023-04-08,Pettah,Pineapple,89.82,5.4
2023-04-08,Meegoda,TJC mango,119.26,7.9
2023-04-08,Meegoda,Banana,57.3,23.2
2023-04-08,Meegoda,Pineapple,69.93,4.4
2023-04-08,Narahenpita,TJC mango,142.48,5.4
2023-04-08,Narahenpita,Banana,54.13,18.1
2023-04-08,Narahenpita,Pineapple,77.91,5.1
2023-04-08,Embilipitiya,TJC mango,124.59,6.8
2023-04-08,Embilipitiya,Banana,60.23,20.9
2023-04-08,Embilipitiya,Pineapple,81.36,2.8
2023-04-09,Dambulla,TJC mango,111.6,9.3
2023-04-09,Dambulla,Banana,60.83,16.5
2023-04-09,Dambulla,Pineapple,80.65,4.3
2023-04-09,Pettah,TJC mango,,
2023-04-09,Pettah,Banana,60.74,17.9
2023-04-09,Pettah,Pineapple,66.79,3.9
2023-04-09,Meegoda,TJC mango,126.86,4.0
2023-04-09,Meegoda,Banana,54.84,7.5
2023-04-09,Meegoda,Pineapple,85.21,4.1
2023-04-09,Narahenpita,TJC mango,106.97,9.7
2023-04-09,Narahenpita,Banana,59.45,19.3
2023-04-09,Narahenpita,Pineapple,78.89,3.2
2023-04-09,Embilipitiya,TJC mango,120.23,7.4
2023-04-09,Embilipitiya,Banana,67.91,12.4
2023-04-09,Embilipitiya,Pineapple,85.08,3.0
2023-04-10,Dambulla,TJC mango,124.2,7.8
2023-04-10,Dambulla,Banana,62.67,15.7
2023-04-10,Dambulla,Pineapple,76.83,5.0
2023-04-10,Pettah,TJC mango,149.63,8.7
2023-04-10,Pettah,Banana,52.88,16.4
2023-04-10,Pettah,Pineapple,64.41,5.1
2023-04-10,Meegoda,TJC mango,120.44,9.0
2023-04-10,Meegoda,Banana,57.78,19.3
2023-04-10,Meegoda,Pineapple,71.65,3.3
2023-04-10,Narahenpita,TJC mango,118.23,6.3
2023-04-10,Narahenpita,Banana,70.91,17.2
2023-04-10,Narahenpita,Pineapple,72.93,3.4
2023-04-10,Embilipitiya,TJC mango,116.02,10.7
2023-04-10,Embilipitiya,Banana,57.52,17.5
2023-04-10,Embilipitiya,Pineapple,86.06,4.1
2023-04-11,Dambulla,TJC mango,115.13,6.1
2023-04-11,Dambulla,Banana,53.93,16.7
2023-04-11,Dambulla,Pineapple,77.41,5.3
2023-04-11,Pettah,TJC mango,124.25,6.8
2023-04-11,Pettah,Banana,49.6,5.7
2023-04-11,Pettah,Pineapple,82.81,5.3
2023-04-11,Meegoda,TJC mango,140.99,6.3
2023-04-11,Meegoda,Banana,61.74,19.5
2023-04-11,Meegoda,Pineapple,78.5,3.4
2023-04-11,Narahenpita,TJC mango,134.61,6.4
2023-04-11,Narahenpita,Banana,54.04,26.6
2023-04-11,Narahenpita,Pineapple,79.93,5.9
2023-04-11,Embilipitiya,TJC mango,104.78,13.5
2023-04-11,Embilipitiya,Banana,50.85,14.7
2023-04-11,Embilipitiya,Pineapple,71.04,4.4
2023-04-12,Dambulla,TJC mango,117.88,10.9
2023-04-12,Dambulla,Banana,47.31,20.6
2023-04-12,Dambulla,Pineapple,75.9,5.9
2023-04-12,Pettah,TJC mango,131.37,7.6
2023-04-12,Pettah,Banana,62.03,27.1
2023-04-12,Pettah,Pineapple,90.54,2.9
2023-04-12,Meegoda,TJC mango,118.86,8.0
2023-04-12,Meegoda,Banana,65.69,16.6
2023-04-12,Meegoda,Pineapple,77.4,3.7
2023-04-12,Narahenpita,TJC mango,133.33,5.6
2023-04-12,Narahenpita,Banana,79.39,29.2
2023-04-12,Narahenpita,Pineapple,72.79,5.3
2023-04-12,Embilipitiya,TJC mango,110.86,6.3
2023-04-12,Embilipitiya,Banana,55.56,27.5
2023-04-12,Embilipitiya,Pineapple,89.86,3.8
2023-04-13,Dambulla,TJC mango,126.79,9.8
2023-04-13,Dambulla,Banana,61.32,16.2
2023-04-13,Dambulla,Pineapple,,
2023-04-13,Pettah,TJC mango,122.43,13.6
2023-04-13,Pettah,Banana,70.95,25.9
2023-04-13,Pettah,Pineapple,91.28,1.7
2023-04-13,Meegoda,TJC mango,142.5,6.4
2023-04-13,Meegoda,Banana,67.63,13.8
2023-04-13,Meegoda,Pineapple,72.65,2.0
2023-04-13,Narahenpita,TJC mango,117.1,9.3
2023-04-13,Narahenpita,Banana,54.99,16.3
2023-04-13,Narahenpita,Pineapple,80.65,2.3
2023-04-13,Embilipitiya,TJC mango,110.93,8.4
2023-04-13,Embilipitiya,Banana,63.18,20.3
2023-04-13,Embilipitiya,Pineapple,59.49,4.3
2023-04-14,Dambulla,TJC mango,138.01,8.3
2023-04-14,Dambulla,Banana,51.67,16.4
2023-04-14,Dambulla,Pineapple,68.34,4.3
2023-04-14,Pettah,TJC mango,135.11,7.3
2023-04-14,Pettah,Banana,51.56,20.9
2023-04-14,Pettah,Pineapple,85.9,4.6
2023-04-14,Meegoda,TJC mango,108.17,5.9
2023-04-14,Meegoda,Banana,64.23,15.5
2023-04-14,Meegoda,Pineapple,64.6,3.8
2023-04-14,Narahenpita,TJC mango,105.76,10.1
2023-04-14,Narahenpita,Banana,63.61,31.3
2023-04-14,Narahenpita,Pineapple,87.01,5.3
2023-04-14,Embilipitiya,TJC mango,122.5,7.8
2023-04-14,Embilipitiya,Banana,59.66,26.4
2023-04-14,Embilipitiya,Pineapple,99.7,3.4
2023-04-15,Dambulla,TJC mango,91.35,7.2
2023-04-15,Dambulla,Banana,61.74,19.9
2023-04-15,Dambulla,Pineapple,62.33,5.5
2023-04-15,Pettah,TJC mango,125.88,6.8
2023-04-15,Pettah,Banana,70.96,16.5
2023-04-15,Pettah,Pineapple,81.7,5.6
2023-04-15,Meegoda,TJC mango,122.34,9.8
2023-04-15,Meegoda,Banana,,
2023-04-15,Meegoda,Pineapple,91.95,3.2
2023-04-15,Narahenpita,TJC mango,117.55,5.4
2023-04-15,Narahenpita,Banana,60.21,19.8
2023-04-15,Narahenpita,Pineapple,,
2023-04-15,Embilipitiya,TJC mango,141.0,6.2
2023-04-15,Embilipitiya,Banana,60.82,18.6
2023-04-15,Embilipitiya,Pineapple,74.99,3.3
2023-04-16,Dambulla,TJC mango,117.19,12.2
2023-04-16,Dambulla,Banana,60.54,18.4
2023-04-16,Dambulla,Pineapple,76.96,4.1
2023-04-16,Pettah,TJC mango,129.98,10.5
2023-04-16,Pettah,Banana,44.57,12.1
2023-04-16,Pettah,Pineapple,70.18,4.4
2023-04-16,Meegoda,TJC mango,94.4,10.1
2023-04-16,Meegoda,Banana,55.94,25.6
2023-04-16,Meegoda,Pineapple,79.6,1.9
2023-04-16,Narahenpita,TJC mango,117.32,8.9
2023-04-16,Narahenpita,Banana,66.33,31.6
2023-04-16,Narahenpita,Pineapple,88.44,3.4
2023-04-16,Embilipitiya,TJC mango,97.42,9.3
2023-04-16,Embilipitiya,Banana,65.02,21.1
2023-04-16,Embilipitiya,Pineapple,81.31,3.0
2023-04-17,Dambulla,TJC mango,120.78,10.8
2023-04-17,Dambulla,Banana,53.53,26.0
2023-04-17,Dambulla,Pineapple,87.63,2.7
2023-04-17,Pettah,TJC mango,102.9,10.0
2023-04-17,Pettah,Banana,53.63,17.4
2023-04-17,Pettah,Pineapple,70.44,5.2
2023-04-17,Meegoda,TJC mango,138.98,6.2
2023-04-17,Meegoda,Banana,65.67,27.0
2023-04-17,Meegoda,Pineapple,57.88,3.0
2023-04-17,Narahenpita,TJC mango,136.34,10.7
2023-04-17,Narahenpita,Banana,56.66,7.4
2023-04-17,Narahenpita,Pineapple,86.12,3.1
2023-04-17,Embilipitiya,TJC mango,109.37,6.2
2023-04-17,Embilipitiya,Banana,74.63,24.2
2023-04-17,Embilipitiya,Pineapple,74.49,4.0
2023-04-18,Dambulla,TJC mango,134.04,9.3
2023-04-18,Dambulla,Banana,52.53,13.6
2023-04-18,Dambulla,Pineapple,77.02,4.1
2023-04-18,Pettah,TJC mango,115.3,9.8
2023-04-18,Pettah,Banana,66.01,14.1
2023-04-18,Pettah,Pineapple,80.66,4.2
2023-04-18,Meegoda,TJC mango,123.5,11.3
2023-04-18,Meegoda,Banana,52.14,24.5
2023-04-18,Meegoda,Pineapple,86.08,2.9
2023-04-18,Narahenpita,TJC mango,87.32,8.1
2023-04-18,Narahenpita,Banana,65.49,16.7
2023-04-18,Narahenpita,Pineapple,70.65,3.9
2023-04-18,Embilipitiya,TJC mango,147.13,7.8
2023-04-18,Embilipitiya,Banana,54.88,16.0
2023-04-18,Embilipitiya,Pineapple,77.83,4.2
2023-04-19,Dambulla,TJC mango,117.65,9.1
2023-04-19,Dambulla,Banana,46.35,15.6
2023-04-19,Dambulla,Pineapple,77.49,3.4
2023-04-19,Pettah,TJC mango,132.97,9.2
2023-04-19,Pettah,Banana,56.12,11.3
2023-04-19,Pettah,Pineapple,69.61,3.1
2023-04-19,Meegoda,TJC mango,101.98,7.7
2023-04-19,Meegoda,Banana,43.82,11.7
2023-04-19,Meegoda,Pineapple,77.2,5.0
2023-04-19,Narahenpita,TJC mango,119.63,8.7
2023-04-19,Narahenpita,Banana,61.79,13.8
2023-04-19,Narahenpita,Pineapple,77.26,3.2
2023-04-19,Embilipitiya,TJC mango,101.15,9.1
2023-04-19,Embilipitiya,Banana,44.72,11.0
2023-04-19,Embilipitiya,Pineapple,87.04,3.6
2023-04-20,Dambulla,TJC mango,113.2,7.1
2023-04-20,Dambulla,Banana,54.12,23.3
2023-04-20,Dambulla,Pineapple,80.7,5.2
2023-04-20,Pettah,TJC mango,98.27,10.9
2023-04-20,Pettah,Banana,63.42,12.6
2023-04-20,Pettah,Pineapple,54.61,4.4
2023-04-20,Meegoda,TJC mango,101.78,6.3
2023-04-20,Meegoda,Banana,66.06,24.5
2023-04-20,Meegoda,Pineapple,70.84,3.1
2023-04-20,Narahenpita,TJC mango,111.23,10.2
2023-04-20,Narahenpita,Banana,57.59,23.3
2023-04-20,Narahenpita,Pineapple,75.93,3.6
2023-04-20,Embilipitiya,TJC mango,120.95,6.6
2023-04-20,Embilipitiya,Banana,58.25,25.1
2023-04-20,Embilipitiya,Pineapple,89.61,6.1
2023-04-21,Dambulla,TJC mango,130.45,6.1
2023-04-21,Dambulla,Banana,84.85,22.4
2023-04-21,Dambulla,Pineapple,79.01,5.1
2023-04-21,Pettah,TJC mango,124.48,9.1
2023-04-21,Pettah,Banana,66.86,27.7
2023-04-21,Pettah,Pineapple,75.88,4.1
2023-04-21,Meegoda,TJC mango,148.34,7.0
2023-04-21,Meegoda,Banana,74.0,23.8
2023-04-21,Meegoda,Pineapple,73.1,2.6
2023-04-21,Narahenpita,TJC mango,125.33,6.6
2023-04-21,Narahenpita,Banana,57.24,9.0
2023-04-21,Narahenpita,Pineapple,83.06,3.2
2023-04-21,Embilipitiya,TJC mango,,
2023-04-21,Embilipitiya,Banana,61.74,15.7
2023-04-21,Embilipitiya,Pineapple,59.24,5.3
2023-04-22,Dambulla,TJC mango,123.38,6.9
2023-04-22,Dambulla,Banana,61.04,18.8
2023-04-22,Dambulla,Pineapple,71.73,5.3
2023-04-22,Pettah,TJC mango,,
2023-04-22,Pettah,Banana,55.97,16.5
2023-04-22,Pettah,Pineapple,75.66,5.4
2023-04-22,Meegoda,TJC mango,115.06,9.7
2023-04-22,Meegoda,Banana,52.39,26.2
2023-04-22,Meegoda,Pineapple,78.0,4.4
2023-04-22,Narahenpita,TJC mango,114.35,7.7
2023-04-22,Narahenpita,Banana,60.43,9.9
2023-04-22,Narahenpita,Pineapple,76.29,2.9
2023-04-22,Embilipitiya,TJC mango,109.14,10.5
2023-04-22,Embilipitiya,Banana,61.3,23.0
2023-04-22,Embilipitiya,Pineapple,86.11,4.4
2023-04-23,Dambulla,TJC mango,133.88,5.1
2023-04-23,Dambulla,Banana,65.26,19.6
2023-04-23,Dambulla,Pineapple,80.24,2.8
2023-04-23,Pettah,TJC mango,107.45,7.2
2023-04-23,Pettah,Banana,64.31,20.0
2023-04-23,Pettah,Pineapple,68.53,3.9
2023-04-23,Meegoda,TJC mango,115.58,3.0
2023-04-23,Meegoda,Banana,69.76,17.9
2023-04-23,Meegoda,Pineapple,108.6,3.6
2023-04-23,Narahenpita,TJC mango,104.59,3.7
2023-04-23,Narahenpita,Banana,56.51,12.8
2023-04-23,Narahenpita,Pineapple,75.41,3.6
2023-04-23,Embilipitiya,TJC mango,114.14,4.1
2023-04-23,Embilipitiya,Banana,61.29,13.7
2023-04-23,Embilipitiya,Pineapple,90.44,4.0
2023-04-24,Dambulla,TJC mango,127.47,7.5
2023-04-24,Dambulla,Banana,52.45,13.3
2023-04-24,Dambulla,Pineapple,102.81,3.9
2023-04-24,Pettah,TJC mango,128.42,8.3
2023-04-24,Pettah,Banana,68.12,19.2
2023-04-24,Pettah,Pineapple,66.03,5.2
2023-04-24,Meegoda,TJC mango,119.11,8.2
2023-04-24,Meegoda,Banana,51.45,10.5
2023-04-24,Meegoda,Pineapple,66.42,3.3
2023-04-24,Narahenpita,TJC mango,105.61,10.3
2023-04-24,Narahenpita,Banana,51.29,8.6
2023-04-24,Narahenpita,Pineapple,83.16,0.9
2023-04-24,Embilipitiya,TJC mango,121.43,6.9
2023-04-24,Embilipitiya,Banana,47.47,25.1
2023-04-24,Embilipitiya,Pineapple,72.29,4.0
2023-04-25,Dambulla,TJC mango,138.73,7.4
2023-04-25,Dambulla,Banana,47.92,13.3
2023-04-25,Dambulla,Pineapple,81.04,5.2
2023-04-25,Pettah,TJC mango,111.21,8.2
2023-04-25,Pettah,Banana,55.45,11.9
2023-04-25,Pettah,Pineapple,87.2,2.0
2023-04-25,Meegoda,TJC mango,112.42,5.9
2023-04-25,Meegoda,Banana,60.04,26.0
2023-04-25,Meegoda,Pineapple,,
2023-04-25,Narahenpita,TJC mango,114.82,8.2
2023-04-25,Narahenpita,Banana,55.18,26.2
2023-04-25,Narahenpita,Pineapple,90.94,4.6
2023-04-25,Embilipitiya,TJC mango,142.62,10.2
2023-04-25,Embilipitiya,Banana,,
2023-04-25,Embilipitiya,Pineapple,78.28,4.0
2023-04-26,Dambulla,TJC mango,140.69,9.0
2023-04-26,Dambulla,Banana,56.27,14.1
2023-04-26,Dambulla,Pineapple,104.55,4.1
2023-04-26,Pettah,TJC mango,114.23,8.8
2023-04-26,Pettah,Banana,70.03,14.6
2023-04-26,Pettah,Pineapple,72.87,3.3
2023-04-26,Meegoda,TJC mango,105.31,5.7
2023-04-26,Meegoda,Banana,54.8,18.2
2023-04-26,Meegoda,Pineapple,69.49,4.9
2023-04-26,Narahenpita,TJC mango,131.17,14.3
2023-04-26,Narahenpita,Banana,,
2023-04-26,Narahenpita,Pineapple,77.98,4.2
2023-04-26,Embilipitiya,TJC mango,116.3,7.8
2023-04-26,Embilipitiya,Banana,58.73,11.1
2023-04-26,Embilipitiya,Pineapple,64.27,3.8
2023-04-27,Dambulla,TJC mango,97.32,5.4
2023-04-27,Dambulla,Banana,61.13,15.5
2023-04-27,Dambulla,Pineapple,75.84,4.3
2023-04-27,Pettah,TJC mango,,
2023-04-27,Pettah,Banana,72.26,23.2
2023-04-27,Pettah,Pineapple,77.9,5.6
2023-04-27,Meegoda,TJC mango,131.15,8.0
2023-04-27,Meegoda,Banana,48.43,16.5
2023-04-27,Meegoda,Pineapple,82.59,4.8
2023-04-27,Narahenpita,TJC mango,133.11,10.2
2023-04-27,Narahenpita,Banana,56.48,18.7
2023-04-27,Narahenpita,Pineapple,88.52,2.4
2023-04-27,Embilipitiya,TJC mango,126.06,6.8
2023-04-27,Embilipitiya,Banana,65.79,6.0
2023-04-27,Embilipitiya,Pineapple,,
2023-04-28,Dambulla,TJC mango,128.65,9.1
2023-04-28,Dambulla,Banana,55.66,14.0
2023-04-28,Dambulla,Pineapple,70.31,3.9
2023-04-28,Pettah,TJC mango,134.11,6.9
2023-04-28,Pettah,Banana,67.93,19.1
2023-04-28,Pettah,Pineapple,87.33,3.1
2023-04-28,Meegoda,TJC mango,111.78,7.0
2023-04-28,Meegoda,Banana,73.95,12.7
2023-04-28,Meegoda,Pineapple,76.35,3.8
2023-04-28,Narahenpita,TJC mango,122.86,8.9
2023-04-28,Narahenpita,Banana,66.51,19.6
2023-04-28,Narahenpita,Pineapple,88.44,5.2
2023-04-28,Embilipitiya,TJC mango,144.21,9.6
2023-04-28,Embilipitiya,Banana,63.07,15.1
2023-04-28,Embilipitiya,Pineapple,67.54,4.1
2023-04-29,Dambulla,TJC mango,82.34,10.0
2023-04-29,Dambulla,Banana,60.71,22.6
2023-04-29,Dambulla,Pineapple,93.09,4.2
2023-04-29,Pettah,TJC mango,99.49,6.4
2023-04-29,Pettah,Banana,54.8,18.9
2023-04-29,Pettah,Pineapple,85.92,3.9
2023-04-29,Meegoda,TJC mango,116.46,6.4
2023-04-29,Meegoda,Banana,60.37,3.7
2023-04-29,Meegoda,Pineapple,84.91,5.5
2023-04-29,Narahenpita,TJC mango,135.6,3.7
2023-04-29,Narahenpita,Banana,51.74,19.0
2023-04-29,Narahenpita,Pineapple,73.88,4.8
2023-04-29,Embilipitiya,TJC mango,118.51,7.7
2023-04-29,Embilipitiya,Banana,61.38,17.6
2023-04-29,Embilipitiya,Pineapple,98.55,4.0
2023-04-30,Dambulla,TJC mango,111.08,9.4
2023-04-30,Dambulla,Banana,61.9,27.3
2023-04-30,Dambulla,Pineapple,79.46,4.4
2023-04-30,Pettah,TJC mango,107.24,5.4
2023-04-30,Pettah,Banana,64.38,12.0
2023-04-30,Pettah,Pineapple,78.44,5.2
2023-04-30,Meegoda,TJC mango,124.6,7.3
2023-04-30,Meegoda,Banana,71.13,19.8
2023-04-30,Meegoda,Pineapple,96.06,3.2
2023-04-30,Narahenpita,TJC mango,108.91,9.0
2023-04-30,Narahenpita,Banana,51.19,13.6
2023-04-30,Narahenpita,Pineapple,80.73,3.9
2023-04-30,Embilipitiya,TJC mango,123.78,7.6
2023-04-30,Embilipitiya,Banana,57.12,19.2
2023-04-30,Embilipitiya,Pineapple,75.57,2.3
2023-05-01,Dambulla,TJC mango,110.47,11.2
2023-05-01,Dambulla,Banana,49.18,9.9
2023-05-01,Dambulla,Pineapple,87.36,3.7
2023-05-01,Pettah,TJC mango,132.36,7.2
2023-05-01,Pettah,Banana,58.24,19.1
2023-05-01,Pettah,Pineapple,101.08,5.8
